,Num_Crimes,TS_interval,Date,Day,Month,Year,feelslike,humidity,precip,precipcover,snow,snowdepth,sealevelpressure,cloudcover,solarradiation,solarenergy,severerisk,suntime,Time_Interval
0,12,1,2010-01-01,1,1,2010,-2.200000000000003,69.8,0.0,0.0,0.0,0.6,1027.3,38.3,76.1,6.6,0,9.19638888888889,B1
1,6,2,2010-01-01,1,1,2010,-2.200000000000003,69.8,0.0,0.0,0.0,0.6,1027.3,38.3,76.1,6.6,0,9.19638888888889,B2
2,3,3,2010-01-01,1,1,2010,-2.200000000000003,69.8,0.0,0.0,0.0,0.6,1027.3,38.3,76.1,6.6,0,9.19638888888889,B3
3,1,4,2010-01-01,1,1,2010,-2.200000000000003,69.8,0.0,0.0,0.0,0.6,1027.3,38.3,76.1,6.6,0,9.19638888888889,B4
4,2,5,2010-01-02,2,1,2010,-8.680000000000007,63.1,0.0,0.0,0.0,0.6,1031.7,24.3,97.6,8.5,0,9.21,B1
5,2,6,2010-01-02,2,1,2010,-8.680000000000007,63.1,0.0,0.0,0.0,0.6,1031.7,24.3,97.6,8.5,0,9.21,B2
6,4,7,2010-01-02,2,1,2010,-8.680000000000007,63.1,0.0,0.0,0.0,0.6,1031.7,24.3,97.6,8.5,0,9.21,B3
7,2,8,2010-01-02,2,1,2010,-8.680000000000007,63.1,0.0,0.0,0.0,0.6,1031.7,24.3,97.6,8.5,0,9.21,B4
8,6,9,2010-01-03,3,1,2010,-4.899999999999999,66.0,0.0,0.0,0.0,0.5,1031.6,52.2,88.0,7.6,0,9.22444444444444,B1
9,2,10,2010-01-03,3,1,2010,-4.899999999999999,66.0,0.0,0.0,0.0,0.5,1031.6,52.2,88.0,7.6,0,9.22444444444444,B2
10,3,11,2010-01-03,3,1,2010,-4.899999999999999,66.0,0.0,0.0,0.0,0.5,1031.6,52.2,88.0,7.6,0,9.22444444444444,B3
11,4,12,2010-01-03,3,1,2010,-4.899999999999999,66.0,0.0,0.0,0.0,0.5,1031.6,52.2,88.0,7.6,0,9.22444444444444,B4
12,2,13,2010-01-04,4,1,2010,0.3199999999999967,69.8,0.0,0.0,0.0,0.4,1026.6,92.6,44.0,3.5,0,9.24,B1
13,3,14,2010-01-04,4,1,2010,0.3199999999999967,69.8,0.0,0.0,0.0,0.4,1026.6,92.6,44.0,3.5,0,9.24,B2
14,5,15,2010-01-04,4,1,2010,0.3199999999999967,69.8,0.0,0.0,0.0,0.4,1026.6,92.6,44.0,3.5,0,9.24,B3
15,4,16,2010-01-04,4,1,2010,0.3199999999999967,69.8,0.0,0.0,0.0,0.4,1026.6,92.6,44.0,3.5,0,9.24,B4
16,2,17,2010-01-05,5,1,2010,6.440000000000001,70.8,0.0,0.0,0.0,0.4,1024.1,91.8,67.5,5.8,0,9.25666666666667,B1
17,2,18,2010-01-05,5,1,2010,6.440000000000001,70.8,0.0,0.0,0.0,0.4,1024.1,91.8,67.5,5.8,0,9.25666666666667,B2
18,2,19,2010-01-05,5,1,2010,6.440000000000001,70.8,0.0,0.0,0.0,0.4,1024.1,91.8,67.5,5.8,0,9.25666666666667,B3
19,5,20,2010-01-05,5,1,2010,6.440000000000001,70.8,0.0,0.0,0.0,0.4,1024.1,91.8,67.5,5.8,0,9.25666666666667,B4
20,0,21,2010-01-06,5,1,2010,6.440000000000001,70.8,0.0,0.0,0.0,0.4,1024.1,91.8,67.5,5.8,0,9.25666666666667,B1
21,4,22,2010-01-06,6,1,2010,7.879999999999999,76.4,0.068,4.17,0.4,0.5,1023.7,70.0,87.5,7.6,0,9.27444444444444,B2
22,4,23,2010-01-06,6,1,2010,7.879999999999999,76.4,0.068,4.17,0.4,0.5,1023.7,70.0,87.5,7.6,0,9.27444444444444,B3
23,3,24,2010-01-06,6,1,2010,7.879999999999999,76.4,0.068,4.17,0.4,0.5,1023.7,70.0,87.5,7.6,0,9.27444444444444,B4
24,2,25,2010-01-07,7,1,2010,11.659999999999997,84.5,5.195,62.5,1.1,1.2,1016.2,100.0,27.3,2.3,0,9.29305555555556,B1
25,5,26,2010-01-07,7,1,2010,11.659999999999997,84.5,5.195,62.5,1.1,1.2,1016.2,100.0,27.3,2.3,0,9.29305555555556,B2
26,10,27,2010-01-07,7,1,2010,11.659999999999997,84.5,5.195,62.5,1.1,1.2,1016.2,100.0,27.3,2.3,0,9.29305555555556,B3
27,4,28,2010-01-07,7,1,2010,11.659999999999997,84.5,5.195,62.5,1.1,1.2,1016.2,100.0,27.3,2.3,0,9.29305555555556,B4
28,2,29,2010-01-08,8,1,2010,9.32,73.9,2.377,20.83,0.5,2.3,1024.7,97.4,62.4,5.4,0,9.31305555555556,B1
29,1,30,2010-01-08,8,1,2010,9.32,73.9,2.377,20.83,0.5,2.3,1024.7,97.4,62.4,5.4,0,9.31305555555556,B2
